id_producto,productos_descripcion,productos_marca,Carrefour,Coto,Día,Mejor_Precio,Dispersion_Porcentaje
7790538010291,NACHOS MACRITAS PAQ 250 GRM,MACRITAS,4380.0,4400.0,4780.0,4380.0,9.1
7790310987766,PAPAS FRITAS SAB.BARBAC. LAYS PAQ 77 GRM,LAYS,3849.0,3850.0,3850.0,3849.0,0.0
7794520869577,PALITOS SALADOS SAB.MOSTA.MIEL Y CEBOLL.KRACHITOS PAQ 110 GRM,KRACHITOS,1749.0,1609.0,1783.0,1609.0,10.8
7798304841254,PALITO HELADO NESQUIK CHOCOLATOSO CJA 204 GRM,NESQUIK,10555.0,11879.0,11110.0,10555.0,12.5
7790895001017,GASEOSA FANTA BOT 2.25 LTR,FANTA,5615.0,5450.0,5450.0,5450.0,3.0
7790895000331,GASEOSA FANTA NARANJA RETORNABLE BOT 2 LTR,FANTA,3800.0,3490.0,3800.0,3490.0,8.9
7790895000270,GASEOSA SPRITE LAT 354 CC,SPRITE,2369.0,2300.0,2300.0,2300.0,3.0
7798062548655,AGUA SIN GAS NARANJA LEVITE PET 500 ML,VDS LEVITE,2000.0,2000.0,2000.0,2000.0,0.0
7798021470027,HIELO ROLITO BSA 2 KGM,ROLITO,4050.0,3999.0,3500.0,3500.0,15.7
7798171572732,TARTA INTEGRAL DE CALABAZA EL NOBLE CJA 240 GRM,EL NOBLE,6800.0,7299.0,6800.0,6800.0,7.3
7790895000447,"GASEOSA SPRITE BOT 1,5 LTR",SPRITE,3530.0,4150.0,3616.0,3530.0,17.6
7790895064173,"GASEOSA SPRITE SIN AZUCAR  BOT 1,5 LTR",SPRITE S/AZUCAR,3530.0,4150.0,3616.0,3530.0,17.6
7791813800774,GASEOSA PASO DE LOS TOROS TONICA LAT 269 ML,PASO DE L.TOROS,2100.0,2000.0,2100.0,2000.0,5.0
7790895000225,GASEOSA SPRITE RETORNABLE BOT 2 LTR,SPRITE,3800.0,3490.0,3800.0,3490.0,8.9
7790895068096,GASEOSA COCA COLA SIN AZUCAR  BOT 2500 CMQ,COCA COLA S/AZU,5390.0,5390.0,3036.0,3036.0,77.5
7790895005794,"GASEOSA COCA COLA BOT 2,5 LTR",COCA COLA,5390.0,5390.0,2496.0,2496.0,115.9
7793281493656,NUGGETS D/POLLO CROCANTES UNION GANADERA PAQ 1 KGM,UNION GANADERA,20719.0,20719.0,20720.0,20719.0,0.0
7790580112400,HELADOS EN POTE SABOR DULCE DE LECHE,COFLER,7135.0,8570.0,8570.0,7135.0,20.1
7790990003046,DETERGENTE LAVAV.ULTRA LIMÓN MAGISTRAL BOT 750 ML,MAGISTRAL,6569.0,7196.99,7190.0,6569.0,9.6
7790580118143,GELATO BON O BON C/CHOCOLATE POT 300 GRM,BON O BON,8829.0,8570.0,8570.0,8570.0,3.0
7790990003138,DETERGENTE LAVAV.ULTRA MARINA MAGISTRAL BOT 500 ML,MAGISTRAL,4309.0,4805.99,4800.0,4309.0,11.5
7790990003022,DETERGENTE LAVAV.ULTRA LIMÓN MAGISTRAL BOT 300 ML,MAGISTRAL,2710.0,2973.99,1890.0,1890.0,57.4
7790990003039,DETERGENTE LAVAV.ULTRA LIMÓN MAGISTRAL BOT 500 ML,MAGISTRAL,3531.0,4805.99,4800.0,3531.0,36.1
7790990003787,REPUESTO DETERG.ULTRA DESENG. LIMÓN MAGISTRAL DOY 450 ML,MAGISTRAL,3689.0,4105.99,4100.0,3689.0,11.3
7791293045931,ACOND.CERAMIDAS FUERZA BRILLO SEDAL BOT 340 ML,SEDAL,5419.0,5422.99,5420.0,5419.0,0.1
